"Dato og tid Kjøring # 1";"Tid (s) Kjøring # 1";"Posisjon (m) Kjøring # 1";"Fart (m/s) Kjøring # 1";"Akselerasjon (m/s²) Kjøring # 1"
12.05.2022 13.22.38;0.000;0.14;;
12.05.2022 13.22.38;0.050;0.14;5.78E-5;
12.05.2022 13.22.38;0.100;0.14;1.45E-5;-5.78E-4
12.05.2022 13.22.38;0.150;0.14;2.25E-8;0.00
12.05.2022 13.22.38;0.200;0.14;5.69E-4;-0.02
12.05.2022 13.22.38;0.250;0.14;0.00;-0.03
12.05.2022 13.22.38;0.300;0.14;0.00;0.00
12.05.2022 13.22.38;0.350;0.14;-0.01;0.06
12.05.2022 13.22.38;0.400;0.14;0.00;0.17
12.05.2022 13.22.38;0.450;0.14;0.01;0.41
12.05.2022 13.22.38;0.500;0.15;0.03;0.77
12.05.2022 13.22.38;0.550;0.14;0.09;1.12
12.05.2022 13.22.38;0.600;0.15;0.16;1.19
12.05.2022 13.22.38;0.650;0.16;0.22;0.97
12.05.2022 13.22.38;0.700;0.18;0.26;0.60
12.05.2022 13.22.38;0.750;0.19;0.28;0.29
12.05.2022 13.22.38;0.800;0.20;0.28;0.13
12.05.2022 13.22.38;0.850;0.22;0.28;0.09
12.05.2022 13.22.38;0.900;0.23;0.29;0.08
12.05.2022 13.22.38;0.950;0.25;0.30;0.02
12.05.2022 13.22.39;1.000;0.26;0.29;-0.08
12.05.2022 13.22.39;1.050;0.28;0.29;-0.13
12.05.2022 13.22.39;1.100;0.29;0.28;-0.08
12.05.2022 13.22.39;1.150;0.30;0.28;0.02
12.05.2022 13.22.39;1.200;0.32;0.28;0.08
12.05.2022 13.22.39;1.250;0.33;0.29;0.06
12.05.2022 13.22.39;1.300;0.35;0.29;0.00
12.05.2022 13.22.39;1.350;0.36;0.28;-0.02
12.05.2022 13.22.39;1.400;0.38;0.28;0.00
12.05.2022 13.22.39;1.450;0.39;0.29;0.00
12.05.2022 13.22.39;1.500;0.40;0.29;-0.05
12.05.2022 13.22.39;1.550;0.42;0.28;-0.07
12.05.2022 13.22.39;1.600;0.43;0.28;-0.03
12.05.2022 13.22.39;1.650;0.45;0.28;0.04
12.05.2022 13.22.39;1.700;0.46;0.28;0.09
12.05.2022 13.22.39;1.750;0.47;0.29;0.08
12.05.2022 13.22.39;1.800;0.49;0.29;0.02
12.05.2022 13.22.39;1.850;0.50;0.29;-0.06
12.05.2022 13.22.39;1.900;0.52;0.28;-0.11
12.05.2022 13.22.39;1.950;0.53;0.28;-0.09
12.05.2022 13.22.40;2.000;0.55;0.27;-0.05
12.05.2022 13.22.40;2.050;0.56;0.27;-0.02
12.05.2022 13.22.40;2.100;0.57;0.27;-0.02
12.05.2022 13.22.40;2.150;0.59;0.27;-0.02
12.05.2022 13.22.40;2.200;0.60;0.27;-0.03
12.05.2022 13.22.40;2.250;0.61;0.27;-0.07
12.05.2022 13.22.40;2.300;0.63;0.27;-0.16
12.05.2022 13.22.40;2.350;0.64;0.26;-0.29
12.05.2022 13.22.40;2.400;0.65;0.24;
12.05.2022 13.22.40;2.450;0.66;0.21;
12.05.2022 13.22.40;2.500;0.67;;
