"Tid (s) Kjøring # 1";"Posisjon (m) Kjøring # 1";"Fart (m/s) Kjøring # 1"
0.000;0.14;0.0
0.050;0.14;5.78E-5
0.100;0.14;1.45E-5
0.150;0.14;2.25E-8
0.200;0.14;5.69E-4
0.250;0.14;0.00
0.300;0.14;0.00
0.350;0.14;-0.01
0.400;0.14;0.00
0.450;0.14;0.01
0.500;0.15;0.03
0.550;0.14;0.09
0.600;0.15;0.16
0.650;0.16;0.22
0.700;0.18;0.26
0.750;0.19;0.28
0.800;0.20;0.28
0.850;0.22;0.28
0.900;0.23;0.29
0.950;0.25;0.30
1.000;0.26;0.29
1.050;0.28;0.29
1.100;0.29;0.28
1.150;0.30;0.28
1.200;0.32;0.28
1.250;0.33;0.29
1.300;0.35;0.29
1.350;0.36;0.28
1.400;0.38;0.28
1.450;0.39;0.29
1.500;0.40;0.29
1.550;0.42;0.28
1.600;0.43;0.28
1.650;0.45;0.28
1.700;0.46;0.28
1.750;0.47;0.29
1.800;0.49;0.29
1.850;0.50;0.29
1.900;0.52;0.28
1.950;0.53;0.28
2.000;0.55;0.27
2.050;0.56;0.27
2.100;0.57;0.27
2.150;0.59;0.27
2.200;0.60;0.27
2.250;0.61;0.27
2.300;0.63;0.27
2.350;0.64;0.26
2.400;0.65;0.24
2.450;0.66;0.21
2.500;0.67;0.21
